CAR NAME,BRAND,LOCATION,PRICE (INR),FUEL TYPE,TRANSMISSION,KM DRIVEN,MANUFACTURE YEAR
2020 Kia SonetHTX Diesel BSVI,Kia,Haryana ,850000,Diesel,Manual,54000,2020
2024 MG HectorSharp Pro,MG,Haryana ,1750000,Petrol,Manual,13500,2024
2021 Renault TriberRXZ,Renault,Haryana ,559000,Petrol,Manual,40402,2021
2024 Kia CarensLuxury Plus Diesel,Kia,Haryana ,1695000,Diesel,Manual,8389,2024
2017 Maruti SwiftVXI,Maruti,Haryana ,450000,Petrol,Manual,23697,2017
2022 Tata NexonXMA Plus S AMT Diesel BSVI,Tata,Haryana ,900000,Diesel,Automatic,60000,2022
2023 Tata PunchCreative Plus,Tata,Haryana ,793000,Petrol,Manual,19098,2023
2023 Land Rover Defender2.0 110 HSE,Land,Haryana ,11600000,Petrol,Automatic,10000,2023
2023 Tata Tiago1.2 Revotron XT,Tata,Haryana ,517000,Petrol,Manual,10710,2023
2022 Kia SeltosHTK Plus D,Kia,Haryana ,1375000,Diesel,Manual,40000,2022
2021 Kia SeltosHTK Plus G,Kia,Haryana ,944999,Petrol,Manual,45700,2021
2023 Maruti Wagon RZXI 1.2,Maruti,Haryana ,612000,Petrol,Manual,9841,2023
2023 Maruti BrezzaZxi Plus,Maruti,Haryana ,1325000,Petrol,Manual,7700,2023
2024 Kia SeltosHTX Diesel AT,Kia,Kerala ,1650000,Diesel,Automatic,30000,2024
2023 Nissan MagniteTurbo XV,Nissan,Kerala ,815000,Petrol,Manual,14507,2023
2016 Maruti BalenoAlpha Diesel,Maruti,Kerala ,561000,Diesel,Manual,66947,2016
2024 Honda AmazeZX CVT,Honda,Kerala ,1075000,Petrol,Automatic,8867,2024
2023 Renault TriberRXE BSVI,Renault,Kerala ,550000,Petrol,Manual,40000,2023
2020 Hyundai Grand i101.2 Kappa Sportz BSIV,Hyundai,Kerala ,591000,Petrol,Manual,25843,2020
2017 Renault KWID1.0 RXT,Renault,Kerala ,245000,Petrol,Manual,89377,2017
2021 Kia SonetHTX Turbo iMT BSVI,Kia,Kerala ,977000,Petrol,Manual,36485,2021
2021 Volvo XC60Inscription D5,Volvo,Kerala ,3500000,Diesel,Automatic,40000,2021
2016 Renault KWIDRXT,Renault,Kerala ,270000,Petrol,Manual,41494,2016
2012 Maruti Alto 800LXi,Maruti,Kerala ,196000,Petrol,Manual,47881,2012
2017 Ford Aspire1.2 Ti-VCT Titanium,Ford,Kerala ,272000,Petrol,Manual,74275,2017
2013 Mahindra XUV500W8 2WD,Mahindra,Kerala ,250000,Diesel,Manual,100000,2013
2024 Honda AmazeZX,Honda,Kerala ,940000,Petrol,Manual,5980,2024
2014 Hyundai EOND Lite Plus,Hyundai,Kerala ,149000,Petrol,Manual,64083,2014
2023 Tata NexonXMA AMT S,Tata,Kerala ,881000,Petrol,Automatic,14566,2023
2022 Maruti IgnisDelta,Maruti,Kerala ,560000,Petrol,Manual,23369,2022
2021 Hyundai SantroSportz AMT,Hyundai,Kerala ,509999,Petrol,Automatic,30374,2021
2021 Tata TiagoXZ Plus BSVI,Tata,Kerala ,467000,Petrol,Manual,33455,2021
2018 Hyundai XcentPetrol,Hyundai,Kerala ,494000,Petrol,Manual,63206,2018
2024 BMW i5M60 xDrive,BMW,Delhi,9200000,Electric,Automatic,4017,2024
2024 Kia SonetHTK Plus,Kia,Delhi,1025000,Petrol,Manual,10000,2024
2022 Kia SonetHTX Turbo iMT Anniversary Edition,Kia,Delhi,909000,Petrol,Automatic,42183,2022
2020 Maruti SwiftLXI,Maruti,Delhi,487000,Petrol,Manual,16415,2020
2023 Kia SeltosHTX Diesel iMT,Kia,Delhi,1598000,Diesel,Automatic,11622,2023
2024 Audi Q3Premium Plus,Audi,Delhi,3500000,Petrol,Automatic,10000,2024
2020 Maruti SwiftVXI,Maruti,Delhi,561000,Petrol,Manual,45947,2020
2021 Maruti SwiftVXI,Maruti,Delhi,517000,Petrol,Manual,27917,2021
2021 Renault KWIDRXL,Renault,Delhi,311000,Petrol,Manual,32114,2021
2019 Renault KWIDRXL,Renault,Delhi,265000,Petrol,Manual,34000,2019
2015 Hyundai Creta1.6 EX Petrol,Hyundai,Delhi,617000,Petrol,Manual,75155,2015
2021 Renault TriberRXZ,Renault,Delhi,559000,Petrol,Manual,40402,2021
2023 Mahindra XUV300W4,Mahindra,Delhi,688000,Petrol,Manual,24874,2023
2011 Maruti Swift DzireVXi,Maruti,Delhi,150000,Petrol,Manual,20000,2011
2024 Kia CarensLuxury Plus Diesel,Kia,Delhi,1695000,Diesel,Manual,8389,2024
2017 Maruti SwiftVXI,Maruti,Delhi,450000,Petrol,Manual,23697,2017
2023 Tata PunchCreative Plus,Tata,Delhi,793000,Petrol,Manual,19098,2023
2024 MG HectorSharp Pro,MG,Delhi,1750000,Petrol,Manual,13500,2024
2017 Maruti DzireZXI,Maruti,Delhi,561000,Petrol,Manual,28784,2017
2020 Hyundai CretaEX BSVI,Hyundai,Delhi,925000,Petrol,Manual,40000,2020
2022 Jeep Compass2.0 Limited Opt Diesel BSVI,Jeep,Bihar,1400000,Diesel,Manual,90000,2022
2021 Hyundai AuraSX Option,Hyundai,Bihar,615000,Petrol,Manual,43059,2021
2020 Kia SonetGTX Plus Turbo DCT DT,Kia,Bihar,765000,Petrol,Automatic,54234,2020
2013 Maruti SwiftVXI,Maruti,Bihar,252999,Petrol,Manual,63188,2013
2022 Mahindra TharLX 4WD Hard Top Diesel BSVI,Mahindra,Bihar,1351000,Diesel,Manual,40000,2022
2022 Mahindra XUV300W8 BSVI,Mahindra,Bihar,813000,Petrol,Manual,33842,2022
2023 Tata NexonXM,Tata,Bihar,780000,Petrol,Manual,30367,2023
2020 Maruti Wagon RVXI AMT 1.2,Maruti,Bihar,405000,Petrol,Automatic,41034,2020
2023 Tata Tiago EVXT LR,Tata,Bihar,825000,Electric,Automatic,90000,2023
2023 Maruti Alto K10VXI Plus,Maruti,Bihar,445000,Petrol,Manual,17963,2023
2018 Tata Safari StormeVX,Tata,Bihar,750000,Diesel,Manual,46000,2018
2023 MG AstorSmart MT,MG,Bihar,1290000,Petrol,Manual,29306,2023
2021 Kia SonetGTX Plus Turbo DCT BSVI,Kia,Bihar,798000,Petrol,Automatic,45159,2021
2023 Maruti Grand VitaraZeta CNG,Maruti,Bihar,1350000,Cng,Manual,71255,2023
2021 Mahindra ScorpioS5,Mahindra,Bihar,1351000,Diesel,Manual,47000,2021
2021 Mahindra ScorpioS5,Mahindra,Bihar,1351000,Diesel,Manual,46000,2021
2020 Mahindra ScorpioS5,Mahindra,Bihar,1275000,Diesel,Manual,41000,2020
2021 Kia SeltosGTX Plus,Kia,Bihar,1170000,Petrol,Manual,70279,2021
2021 Toyota Urban cruiserPremium,Toyota,Bihar,770000,Petrol,Manual,39916,2021
2022 Maruti CelerioZXI,Maruti,Bihar,469000,Petrol,Manual,62599,2022
2019 Tata NanoXM,Tata, Jharkhand ,190000,Petrol,Manual,30000,2019
2012 Maruti Swift DzireVDI,Maruti, Jharkhand ,290000,Diesel,Manual,113000,2012
2016 Maruti CiazZDi,Maruti, Jharkhand ,550000,Diesel,Manual,96000,2016
2024 Honda ElevateVX,Honda, Jharkhand ,1550000,Petrol,Manual,1001,2024
2014 Tata ZestQuadrajet 1.3 XMS,Tata, Jharkhand ,290000,Diesel,Manual,100000,2014
2018 Maruti Swift DzireVXI BSVI,Maruti, Jharkhand ,560000,Petrol,Manual,41959,2018
2017 Maruti BalenoDelta Diesel,Maruti, Jharkhand ,515000,Diesel,Manual,52000,2017
2017 Honda Jazz1.2 VX i VTEC,Honda, Jharkhand ,400000,Petrol,Manual,52144,2017
2006 Hyundai ElantraCRDi,Hyundai, Jharkhand ,150000,Diesel,Manual,160000,2006
2015 Honda Cityi VTEC CVT VX,Honda, Jharkhand ,550000,Petrol,Automatic,88650,2015
2022 Hyundai TucsonSignature Diesel AT BSVI,Hyundai, Jharkhand ,2500000,Diesel,Automatic,36250,2022
2013 Volkswagen CrossPolo1.2 TDI,Volkswagen, Jharkhand ,320000,Diesel,Manual,72000,2013
2023 Tata SafariXZA AT BSVI,Tata, Jharkhand ,1800000,Diesel,Automatic,80000,2023
2015 Hyundai i20Sportz Option 1.4 CRDi,Hyundai, Jharkhand ,345000,Diesel,Manual,157569,2015
2021 Maruti IgnisSigma BSVI,Maruti, Jharkhand ,425000,Petrol,Manual,46214,2021
2016 Maruti Wagon RAMT VXI,Maruti, Jharkhand ,285000,Petrol,Automatic,74351,2016
2023 Renault KigerRXL,Renault, Jharkhand ,555000,Petrol,Manual,30000,2023
2018 Ford FreestyleTrend Diesel BSIV,Ford, Jharkhand ,350000,Diesel,Manual,70000,2018
2016 Renault DusterPetrol RxE,Renault, Jharkhand ,360000,Petrol,Manual,65000,2016
2024 Toyota RumionV,Toyota, Jharkhand ,1400000,Petrol,Manual,10000,2024
2018 Maruti BalenoAlpha,Maruti,Chhattisgarh ,475000,Petrol,Manual,107452,2018
2017 Maruti Swift DzireAMT ZXI,Maruti,Chhattisgarh ,499000,Petrol,Automatic,58458,2017
2022 Hyundai VenueS BSVI,Hyundai,Chhattisgarh ,811000,Petrol,Manual,30000,2022
2024 Nissan MagniteN Connecta,Nissan,Chhattisgarh ,800000,Petrol,Manual,10000,2024
2024 Renault TriberRXL,Renault,Chhattisgarh ,660000,Petrol,Manual,20000,2024
2008 Mahindra Renault Logan1.4 GLX,Mahindra,Chhattisgarh ,90000,Petrol,Manual,70000,2008
2013 Hyundai i10Sportz 1.1L,Hyundai,Chhattisgarh ,250000,Petrol,Manual,70000,2013
2016 Maruti SwiftVXI,Maruti,Chhattisgarh ,375000,Petrol,Manual,90000,2016
2017 Honda WR-Vi-DTEC VX,Honda,Chhattisgarh ,560000,Diesel,Manual,70000,2017
2017 Jeep Compass2.0 Longitude Option BSIV,Jeep,Chhattisgarh ,670000,Diesel,Manual,70000,2017
2019 Maruti S CrossDelta DDiS 200 SH,Maruti,Chhattisgarh ,600000,Diesel,Manual,150000,2019
2023 Hyundai VenueSX,Hyundai,Chhattisgarh ,900000,Petrol,Manual,85000,2023
2023 Tata NexonXM,Tata,Chhattisgarh ,800000,Petrol,Manual,30000,2023
2023 Tata HarrierXT Plus,Tata,Chhattisgarh ,1650000,Diesel,Manual,30000,2023
2023 Renault TriberRXZ BSVI,Renault,Chhattisgarh ,650000,Petrol,Manual,50000,2023
2016 Hyundai Creta1.6 CRDi SX Option,Hyundai,Chhattisgarh ,700000,Diesel,Manual,120000,2016
2019 Hyundai Creta1.6 SX,Hyundai,Chhattisgarh ,900000,Petrol,Manual,45000,2019
2009 Maruti Alto 800LXi BSIII,Maruti,Chhattisgarh ,80000,Petrol,Manual,60000,2009
2020 Maruti Swift DzireVXI 1.2,Maruti,Chhattisgarh ,700000,Petrol,Manual,30000,2020
2014 Maruti ErtigaVDI,Maruti,Chhattisgarh ,500000,Diesel,Manual,98000,2014
2024 Hyundai CretaSX (O) Knight iVT,Hyundai,Odisha ,1650000,Petrol,Automatic,20000,2024
2022 Maruti Swift Dzire TourS,Maruti,Odisha ,540000,Petrol,Manual,54000,2022
2020 Honda WR-VSV,Honda,Odisha ,585000,Petrol,Manual,85000,2020
2017 Hyundai EONEra Plus,Hyundai,Odisha ,285000,Petrol,Manual,20431,2017
2021 Mahindra TharLX 4WD Hard Top Diesel AT BSVI,Mahindra,Odisha ,1400000,Diesel,Automatic,50000,2021
2019 BMW 6 SeriesGT 620d Luxury Line,BMW,Odisha ,3800000,Diesel,Automatic,50000,2019
2021 Hyundai i20Asta Opt BSVI,Hyundai,Odisha ,650000,Petrol,Manual,45000,2021
2020 Hyundai CretaSX Opt Turbo BSVI,Hyundai,Odisha ,1280000,Petrol,Automatic,38000,2020
2023 MG Hector Plus1.5 Turbo Savvy Pro CVT 7 Str BSVI,MG,Odisha ,2200000,Petrol,Automatic,40000,2023
2013 Hyundai i10Sportz,Hyundai,Odisha ,235000,Petrol,Manual,39792,2013
2018 Maruti Baleno1.2 CVT Zeta,Maruti,Odisha ,570000,Petrol,Automatic,43966,2018
2023 Mahindra TharLX Hard Top Diesel,Mahindra,Odisha ,1360000,Diesel,Manual,23000,2023
2022 Maruti Eeco5 Seater AC 2020-2022,Maruti,Odisha ,459999,Petrol,Manual,59000,2022
2019 Hyundai VenueSX Turbo BSIV,Hyundai,Odisha ,790000,Petrol,Manual,14800,2019
2019 Maruti SwiftVXI,Maruti,Odisha ,550000,Petrol,Manual,65000,2019
2021 Honda AmazeS i-VTEC,Honda,Odisha ,580000,Petrol,Manual,130241,2021
2019 Honda AmazeS Petrol,Honda,Odisha ,500000,Petrol,Manual,200396,2019
2016 Toyota Innova2.5 G (Diesel) 7 Seater BS IV,Toyota,Odisha ,1250000,Diesel,Manual,68260,2016
2012 Audi Q52.0 TDI,Audi,Odisha ,1000000,Diesel,Automatic,120000,2012
2020 Hyundai VenueS Diesel BSIV,Hyundai,Odisha ,690000,Diesel,Manual,58000,2020
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,West Bengal,7000000,Diesel,Automatic,30000,2024
2022 Nissan MagniteXV BSVI,Nissan,West Bengal,552000,Petrol,Manual,10644,2022
2021 Kia SonetHTX Turbo iMT BSVI,Kia,West Bengal,708000,Petrol,Manual,59318,2021
2024 Renault KigerRXL,Renault,West Bengal,600000,Petrol,Manual,5180,2024
2024 MG AstorSelect CVT,MG,West Bengal,1400000,Petrol,Automatic,10000,2024
2023 Mahindra Bolero NeoN8,Mahindra,West Bengal,919999,Diesel,Manual,4900,2023
2022 Kia SeltosHTK Plus G,Kia,West Bengal,1118000,Petrol,Manual,13890,2022
2023 Hyundai ExterS AMT,Hyundai,West Bengal,850000,Petrol,Automatic,12493,2023
2024 Kia SeltosHTX Diesel AT,Kia,West Bengal,1650000,Diesel,Automatic,30000,2024
2024 Toyota TaisorG Turbo,Toyota,West Bengal,831000,Petrol,Manual,19113,2024
2023 Renault KigerRXZ,Renault,West Bengal,727000,Petrol,Manual,17328,2023
2024 Kia SeltosGTX Plus Diesel AT,Kia,West Bengal,1950000,Diesel,Automatic,28000,2024
2024 Kia SonetHTK Plus,Kia,West Bengal,1025000,Petrol,Manual,10000,2024
2024 Tata PunchAdventure,Tata,West Bengal,697000,Petrol,Manual,11645,2024
2022 Kia SonetHTX Turbo iMT Anniversary Edition,Kia,West Bengal,909000,Petrol,Automatic,42183,2022
2023 Maruti Alto K10VXI,Maruti,West Bengal,430000,Petrol,Manual,6200,2023
2023 Audi Q3Premium Plus BSVI,Audi,West Bengal,3800000,Petrol,Automatic,18000,2023
2024 BMW XMxDrive,BMW,West Bengal,21000000,Petrol,Automatic,13734,2024
2023 Maruti Alto K10VXI,Maruti,West Bengal,404000,Petrol,Manual,11436,2023
2024 Honda AmazeVX CVT,Honda,West Bengal,850000,Petrol,Automatic,35413,2024
